unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
79ebd0d9-e70e-48a8-afa6-e9bd2efa7a30,1618094664.6666305,0.0,None,"[88, 'united_states', 111, 'aavail_premium']",0.1,000:15:10
94160901-6bed-4beb-91b5-b8eb0e940dc9,1618094664.6686318,1.0,None,"[90, 'singapore', 100, 'aavail_unlimited']",0.1,000:15:10
6a4596b7-da86-4c1c-8b15-094944908618,1618094664.67063,0.0,None,"[26, 'singapore', 16, 'aavail_basic']",0.1,000:15:10
d15ee1da-77b0-431a-82ea-3dba655fcc5d,1618094664.672631,0.0,None,"[20, 'united_states', 20, 'aavail_premium']",0.1,000:15:10
80db4203-881f-47cb-949e-4bf27de11c98,1618094664.674634,0.0,None,"[19, 'singapore', 15, 'aavail_basic']",0.1,000:15:10
afbcfd16-6556-495c-92ac-53da2b034959,1618094664.6816342,0.0,None,"[24, 'united_states', 21, 'aavail_basic']",0.1,000:15:10
a4da49e7-4008-45ec-ad2c-96e41779eba0,1618094664.6836333,0.0,None,"[76, 'united_states', 80, 'aavail_premium']",0.1,000:15:10
9725f90f-38e6-407a-95df-075a06d02fbe,1618094664.6856334,0.0,None,"[22, 'united_states', 16, 'aavail_unlimited']",0.1,000:15:10
de07d813-6278-4eae-809d-0f65f2d8834d,1618094664.6876323,0.0,None,"[25, 'singapore', 12, 'aavail_basic']",0.1,000:15:10
e170cac0-333c-4452-9f2d-464c9ddee0ac,1618094664.6906319,0.0,None,"[37, 'united_states', 18, 'aavail_premium']",0.1,000:15:10
0b76fcf4-2173-494c-8041-4cc7e3ebcc08,1618094664.6926324,1.0,None,"[38, 'singapore', 14, 'aavail_unlimited']",0.1,000:15:10
9ec82899-ad95-422a-9b4b-a37ef8beefce,1618094664.6946335,0.0,None,"[23, 'united_states', 16, 'aavail_basic']",0.1,000:15:10
ea14a6e7-20f4-4409-aeb6-6804ad099826,1618094664.696633,0.0,None,"[20, 'united_states', 22, 'aavail_premium']",0.1,000:15:10
9763b415-f3c1-45f1-a8dd-fc96a049de60,1618094664.698634,0.0,None,"[24, 'united_states', 23, 'aavail_premium']",0.1,000:15:10
814c5522-a637-47c0-b82c-096edc10e4fe,1618094664.7006335,1.0,None,"[21, 'singapore', 14, 'aavail_unlimited']",0.1,000:15:10
a9a62158-62fe-4e43-a63f-3fe5354badb3,1618094664.702635,0.0,None,"[17, 'united_states', 5, 'aavail_unlimited']",0.1,000:15:10
3793dcfa-45f0-4d11-ab4c-b26859ca2553,1618094664.7036314,0.0,None,"[80, 'united_states', 90, 'aavail_basic']",0.1,000:15:10
5857c2f8-474f-4d8f-bbdc-4e733d6e56e3,1618094664.7066314,1.0,None,"[17, 'singapore', 12, 'aavail_unlimited']",0.1,000:15:10
cfece760-c2ac-4f5e-b333-597c7c5e052b,1618094664.7086313,0.0,None,"[21, 'singapore', 20, 'aavail_basic']",0.1,000:15:10
c58471a1-7240-4a43-8e10-23e0af31d0a7,1618094664.7106333,0.0,None,"[20, 'united_states', 23, 'aavail_premium']",0.1,000:15:10
ab8146c8-a59d-4d2f-a31b-ed29bd523d9b,1618094664.712634,0.0,None,"[22, 'united_states', 17, 'aavail_premium']",0.1,000:15:10
cafdc02c-2249-4f1f-95dc-131a8376df5b,1618094664.7146337,0.0,None,"[21, 'united_states', 9, 'aavail_premium']",0.1,000:15:10
4c401ce8-c6d6-4636-8bcc-c4e73dcd9a13,1618094664.7166328,0.0,None,"[22, 'united_states', 19, 'aavail_premium']",0.1,000:15:10
1e102cdb-ddcf-4286-b3fb-2201227a3235,1618094664.7176309,1.0,None,"[37, 'singapore', 9, 'aavail_unlimited']",0.1,000:15:10
7ad3865e-491a-4c06-86e8-9fdf46899730,1618094664.7196312,0.0,None,"[-48, 'united_states', 21, 'aavail_basic']",0.1,000:15:10
de7edc74-a710-43a3-9e2c-d8cc0ddd267e,1618094664.7216344,0.0,None,"[20, 'united_states', 19, 'aavail_unlimited']",0.1,000:15:10
56fca90b-eb4d-4315-a46d-e126582be56a,1618094664.7246559,0.0,None,"[14, 'united_states', 17, 'aavail_unlimited']",0.1,000:15:10
95902c0a-6012-4c1c-b8d1-d4a8f5753850,1618094664.7266316,0.0,None,"[27, 'united_states', 20, 'aavail_premium']",0.1,000:15:10
403fdb8d-bb8a-4b6b-a78b-a06a6e27b05d,1618094664.7286327,1.0,None,"[68, 'singapore', 150, 'aavail_premium']",0.1,000:15:10
e2f2ac6b-a897-475f-9a9f-4f61ce0a1441,1618094664.7306325,0.0,None,"[41, 'united_states', 17, 'aavail_premium']",0.1,000:15:10
59a16a45-066a-4d98-9fdd-8d3187f41a53,1618094664.732634,0.0,None,"[20, 'united_states', 20, 'aavail_premium']",0.1,000:15:10
11f73954-ba36-4c25-b842-dd44701e9467,1618094664.7346315,0.0,None,"[44, 'singapore', 17, 'aavail_basic']",0.1,000:15:10
5b45f3d4-11b1-4179-b35a-9bce0c41ec85,1618094664.7356315,0.0,None,"[18, 'singapore', 7, 'aavail_basic']",0.1,000:15:10
b4957d65-f81c-4a0a-a573-724e5c762609,1618094664.7376332,0.0,None,"[22, 'united_states', 8, 'aavail_unlimited']",0.1,000:15:10
192176cb-d8de-42b8-afc7-cdce6e0fed6f,1618094664.7396328,0.0,None,"[14, 'united_states', 13, 'aavail_premium']",0.1,000:15:10
c8939801-d02a-4a3e-bbc3-1f1c62ab75dc,1618094664.7416356,1.0,None,"[23, 'singapore', 15, 'aavail_unlimited']",0.1,000:15:10
7cab0e23-f50b-458d-9747-28fd35e3af34,1618094664.7436316,0.0,None,"[26, 'singapore', 15, 'aavail_basic']",0.1,000:15:10
f4911cc6-9821-457b-a5f1-5a53be571557,1618094664.745631,0.0,None,"[37, 'singapore', 20, 'aavail_basic']",0.1,000:15:10
49648858-5a20-408a-965d-3577eed07d70,1618094664.7466314,1.0,None,"[23, 'singapore', 8, 'aavail_unlimited']",0.1,000:15:10
5a705318-30e2-4966-8f58-2e872d37be1b,1618094664.7486303,0.0,None,"[22, 'united_states', 21, 'aavail_premium']",0.1,000:15:10
40e5eee4-ed95-4109-bc50-7070ee8a9fe6,1618094664.7506313,0.0,None,"[25, 'united_states', 14, 'aavail_basic']",0.1,000:15:10
76e0cb23-f14a-42c5-8612-b908fb01b7d3,1618094664.7516334,0.0,None,"[17, 'singapore', 8, 'aavail_basic']",0.1,000:15:10
237216ea-39cb-4120-8392-868d3eafabb9,1618094664.7536325,1.0,None,"[22, 'singapore', 14, 'aavail_unlimited']",0.1,000:15:10
449f1124-6619-4721-b102-b90a3220dafa,1618094664.7556345,1.0,None,"[38, 'singapore', 12, 'aavail_unlimited']",0.1,000:15:10
