customer_id,subscription_stopped,sentiments,month
1,0,,Jan
1,0,,Jan
1,0,,Jan
1,0,,Jan
1,0,,Feb
1,0,,Feb
1,0,,Feb
1,0,,Feb
1,0,,Mar
1,0,,Mar
1,0,,Mar
1,0,,Mar
2,0,,Feb
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,0,,Mar
2,1,1.0,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,,Mar
4,0,1.0,Apr
4,0,1.0,Apr
4,0,,Apr
4,0,,May
4,0,,May
4,0,,May
4,0,,May
4,0,,May
4,0,,May
4,0,,May
4,0,,May
5,0,,Jan
5,0,,Jan
5,0,,Feb
5,0,,Feb
5,0,,Feb
5,0,,Feb
5,0,,Feb
5,0,,Feb
5,0,,Mar
5,0,,Mar
5,0,,Mar
5,0,,Mar
5,0,,Mar
5,0,,Mar
5,0,,Mar
5,0,,Apr
5,0,,Apr
5,0,,Apr
5,0,,Apr
5,0,,Apr
5,0,,Apr
5,0,,May
5,0,,May
6,0,,May
6,0,,May
6,0,,May
6,0,,May
6,0,,Jun
6,0,,Jun
6,0,,Jun
6,0,,Jun
6,0,,Jun
6,0,,Jun
6,0,,Jul
6,0,,Jul
6,0,,Jul
6,0,,Jul
6,0,,Aug
6,0,,Aug
6,0,,Aug
6,0,,Aug
6,0,,Aug
6,0,,Sept
7,0,,Jun
7,0,,Jun
7,0,,Jun
7,0,,Jun
7,0,,Jun
7,0,,Jul
7,0,,Jul
7,0,,Jul
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,0,,Aug
7,1,,Aug
8,0,,Feb
8,0,,Feb
8,0,,Feb
8,0,,Feb
8,0,,Feb
8,0,,Feb
8,0,,Mar
8,0,,Mar
8,0,,Mar
8,0,,Mar
8,0,,Mar
8,0,,Mar
8,0,,Apr
8,0,,Apr
8,0,,Apr
8,0,,Apr
8,0,,Apr
8,0,,May
8,0,,May
8,0,,May
9,0,,Mar
9,0,,Apr
9,0,,Apr
9,0,,Apr
9,0,,Apr
9,0,,Apr
9,0,,Apr
9,0,,Apr
9,0,,Jun
9,0,,Jun
9,0,,Jun
9,0,,Jun
9,0,,Jun
9,0,,Jun
9,0,,Jun
9,0,,Jul
9,0,,Jul
9,0,,Jul
9,0,,Jul
9,0,,Aug
9,0,0.0,Aug
9,0,,Aug
9,0,0.0,Aug
9,1,0.0,Aug
10,0,,Mar
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,Apr
10,0,,May
10,0,,Jun
10,0,,Jun
10,0,,Jun
10,0,,Jun
10,0,,Jun
10,0,,Jul
10,0,,Jul
10,1,,Jul
11,0,,May
11,0,,May
11,0,,May
11,0,,Jun
11,0,,Jun
11,0,,Jun
11,0,,Jun
