customer_id,stream_id,date,invoice_item_id,subscription_stopped
1,1420,2018-10-21,2.0,0
1,1343,2018-10-23,2.0,0
1,1756,2018-11-05,2.0,0
1,1250,2018-11-06,2.0,0
1,1324,2018-11-12,2.0,0
1,1218,2018-11-12,2.0,0
1,1695,2018-11-23,2.0,0
1,1550,2018-11-25,2.0,0
1,,2018-12-10,2.0,0
1,1498,2018-12-12,2.0,0
1,1641,2018-12-14,2.0,0
1,1770,2018-12-27,2.0,0
1,1536,2019-01-05,2.0,0
1,1449,2019-01-06,2.0,0
1,1672,2019-01-28,2.0,0
1,1525,2019-01-31,2.0,0
1,1182,2019-02-01,2.0,0
1,1122,2019-02-09,2.0,0
1,1285,2019-02-22,2.0,0
1,1359,2019-02-28,2.0,0
1,1572,2019-03-01,2.0,0
1,1266,2019-03-06,2.0,0
1,1183,2019-03-09,2.0,0
1,1500,2019-03-26,2.0,0
2,1294,2019-02-27,3.0,0
2,,2019-03-01,3.0,0
2,1367,2019-03-03,3.0,0
2,1190,2019-03-08,3.0,0
2,1761,2019-03-08,3.0,0
2,1479,2019-03-10,3.0,0
2,1458,2019-03-10,3.0,0
2,1506,2019-03-13,3.0,0
2,1245,2019-03-13,3.0,0
2,1273,2019-03-16,3.0,0
2,1174,2019-03-19,3.0,0
2,1483,2019-03-24,3.0,0
2,1726,2019-03-28,3.0,1
3,1503,2018-07-18,2.0,0
3,1196,2018-08-11,2.0,0
3,1387,2018-08-14,2.0,0
3,1445,2018-08-20,2.0,0
3,1501,2018-08-24,2.0,0
3,1318,2018-08-27,2.0,0
3,1386,2018-08-28,2.0,0
3,1765,2018-08-28,2.0,0
3,1710,2018-08-30,2.0,0
3,1263,2018-09-13,2.0,0
3,1426,2018-09-13,2.0,0
3,1431,2018-09-14,2.0,0
3,1527,2018-09-15,2.0,0
3,1773,2018-09-15,2.0,0
3,1342,2018-09-22,2.0,0
3,1749,2018-09-28,2.0,0
3,1066,2018-10-10,2.0,0
3,1238,2018-10-18,2.0,0
3,1676,2018-11-07,2.0,0
3,1300,2018-11-07,2.0,0
3,1168,2018-11-07,2.0,0
3,1453,2018-11-15,2.0,1
4,1228,2019-03-03,1.0,0
4,1435,2019-03-07,1.0,0
4,1302,2019-03-08,1.0,0
4,1420,2019-03-12,1.0,0
4,1478,2019-03-13,1.0,0
4,1634,2019-03-25,1.0,0
4,1524,2019-03-25,1.0,0
4,1400,2019-03-26,1.0,0
4,1194,2019-04-10,1.0,0
4,1225,2019-04-18,1.0,0
